,Date,Open,High,Low,Close,Volume,Open Interest
0,11/20/2019,0.0,0.0,0.0,3956,0.0,0.0
1,11/21/2019,0.0,0.0,0.0,4191,0.0,0.0
2,11/22/2019,,,,4204,,
3,11/25/2019,0.0,0.0,0.0,4159,0.0,0.0
4,11/26/2019,0.0,0.0,0.0,4178,0.0,0.0
5,11/27/2019,0.0,0.0,0.0,4172,0.0,0.0
6,11/28/2019,0.0,0.0,0.0,4218,0.0,0.0
7,11/29/2019,0.0,0.0,0.0,4020,0.0,0.0
8,12/2/2019,0.0,0.0,0.0,4063,0.0,0.0
9,12/3/2019,0.0,0.0,0.0,4084,0.0,0.0
10,12/4/2019,0.0,0.0,0.0,4204,0.0,0.0
11,12/5/2019,0.0,0.0,0.0,4191,0.0,0.0
12,12/6/2019,0.0,0.0,0.0,4231,0.0,0.0
13,12/9/2019,0.0,0.0,0.0,4212,0.0,0.0
14,12/10/2019,0.0,0.0,0.0,4210,0.0,0.0
15,12/11/2019,0.0,0.0,0.0,4176,0.0,0.0
16,12/12/2019,0.0,0.0,0.0,4205,0.0,0.0
17,12/13/2019,0.0,0.0,0.0,4256,0.0,0.0
18,12/17/2019,0.0,0.0,0.0,4344,0.0,0.0
19,12/18/2019,0.0,0.0,0.0,4321,0.0,0.0
20,12/19/2019,0.0,0.0,0.0,4341,0.0,0.0
21,12/20/2019,0.0,0.0,0.0,4305,0.0,0.0
22,12/23/2019,0.0,0.0,0.0,4325,0.0,0.0
23,12/24/2019,0.0,0.0,0.0,4359,0.0,0.0
24,12/26/2019,0.0,0.0,0.0,4384,0.0,0.0
25,12/27/2019,0.0,0.0,0.0,4404,0.0,0.0
26,12/30/2019,0.0,0.0,0.0,4386,0.0,0.0
27,1/1/2020,0.0,0.0,0.0,4361,0.0,0.0
28,1/2/2020,0.0,0.0,0.0,4339,0.0,0.0
29,1/3/2020,0.0,0.0,0.0,4480,0.0,0.0
30,1/6/2020,0.0,0.0,0.0,4530,0.0,0.0
31,1/7/2020,0.0,0.0,0.0,4497,0.0,0.0
32,1/8/2020,0.0,0.0,0.0,4271,0.0,0.0
33,1/9/2020,0.0,0.0,0.0,4259,0.0,0.0
34,1/10/2020,0.0,0.0,0.0,4231,0.0,0.0
35,1/13/2020,0.0,0.0,0.0,4176,0.0,0.0
36,1/14/2020,0.0,0.0,0.0,4193,0.0,0.0
37,1/15/2020,0.0,0.0,0.0,4155,0.0,0.0
38,1/16/2020,0.0,0.0,0.0,4213,0.0,0.0
39,1/17/2020,0.0,0.0,0.0,4205,0.0,0.0
40,1/20/2020,0.0,0.0,0.0,4197,0.0,0.0
41,1/21/2020,0.0,0.0,0.0,4207,0.0,0.0
42,1/22/2020,0.0,0.0,0.0,4087,0.0,0.0
43,1/23/2020,0.0,0.0,0.0,3980,0.0,0.0
44,1/24/2020,0.0,0.0,0.0,3922,0.0,0.0
45,1/27/2020,0.0,0.0,0.0,3838,0.0,0.0
46,1/28/2020,0.0,0.0,0.0,3875,0.0,0.0
47,1/29/2020,0.0,0.0,0.0,3864,0.0,0.0
48,1/30/2020,0.0,0.0,0.0,3793,0.0,0.0
49,2/1/2020,0.0,0.0,0.0,3753,0.0,0.0
50,2/3/2020,0.0,0.0,0.0,3702,0.0,0.0
51,2/4/2020,0.0,0.0,0.0,3666,0.0,0.0
52,2/5/2020,0.0,0.0,0.0,3750,0.0,0.0
53,2/6/2020,0.0,0.0,0.0,3715,0.0,0.0
54,2/7/2020,0.0,0.0,0.0,3712,0.0,0.0
55,2/10/2020,0.0,0.0,0.0,3630,0.0,0.0
56,2/11/2020,0.0,0.0,0.0,3665,0.0,0.0
57,2/12/2020,0.0,0.0,0.0,3751,0.0,0.0
58,2/13/2020,0.0,0.0,0.0,3757,0.0,0.0
59,2/14/2020,0.0,0.0,0.0,3799,0.0,0.0
60,2/17/2020,0.0,0.0,0.0,3828,0.0,0.0
61,2/18/2020,0.0,0.0,0.0,3820,0.0,0.0
62,2/19/2020,0.0,0.0,0.0,3898,0.0,0.0
63,2/20/2020,0.0,0.0,0.0,3952,0.0,0.0
64,2/21/2020,3895.0,3905.0,3860.0,3885,6.0,3.0
65,2/24/2020,3847.0,3847.0,3751.0,3798,6.0,6.0
66,2/25/2020,3781.0,3804.0,3689.0,3749,7.0,10.0
67,2/26/2020,3681.0,3681.0,3592.0,3627,25.0,24.0
68,2/27/2020,3512.0,3520.0,3404.0,3433,28.0,30.0
69,2/28/2020,3320.0,3393.0,3280.0,3332,23.0,25.0
70,3/2/2020,3400.0,3489.0,3365.0,3418,13.0,22.0
71,3/3/2020,3554.0,3619.0,3511.0,3539,28.0,17.0
72,3/4/2020,3587.0,3620.0,3524.0,3560,22.0,20.0
73,3/5/2020,3562.0,3562.0,3478.0,3504,9.0,22.0
74,3/9/2020,,,,2574,,33.0
75,3/10/2020,2635.0,2677.0,2581.0,2615,39.0,46.0
76,3/11/2020,2670.0,2746.0,2577.0,2599,56.0,44.0
77,3/12/2020,2496.0,2523.0,2420.0,2481,109.0,68.0
78,3/13/2020,2490.0,2625.0,2420.0,2528,115.0,84.0
79,3/16/2020,2497.0,2497.0,2300.0,2338,189.0,230.0
80,3/17/2020,2372.0,2390.0,2251.0,2266,144.0,242.0
81,3/18/2020,2184.0,2262.0,1875.0,1910,661.0,416.0
82,3/19/2020,1900.0,2150.0,1881.0,2130,1368.0,484.0
83,3/20/2020,2215.0,2296.0,1955.0,2075,6065.0,609.0
84,3/23/2020,1992.0,2041.0,1919.0,2008,3636.0,657.0
85,3/24/2020,2088.0,2170.0,2070.0,2082,2288.0,709.0
86,3/25/2020,2165.0,2195.0,2075.0,2164,2458.0,760.0
87,3/26/2020,2144.0,2147.0,1992.0,2001,2658.0,904.0
88,3/27/2020,2025.0,2032.0,1930.0,1952,3117.0,1122.0
89,3/30/2020,1890.0,1993.0,1880.0,1907,2487.0,1296.0
90,3/31/2020,1962.0,1990.0,1948.0,1977,1571.0,1418.0
91,4/1/2020,1919.0,1927.0,1873.0,1917,2125.0,1545.0
92,4/3/2020,1950.0,2283.0,1950.0,2245,12326.0,1735.0
93,4/7/2020,2334.0,2395.0,2334.0,2378,6869.0,3188.0
94,4/8/2020,2345.0,2345.0,2250.0,2273,8363.0,3494.0
95,4/9/2020,2305.0,2458.0,2300.0,2410,8088.0,2723.0
96,4/13/2020,2314.0,2320.0,2194.0,2246,12769.0,2896.0
97,4/15/2020,2200.0,2200.0,2047.0,2090,19843.0,4919.0
98,4/16/2020,2086.0,2121.0,2076.0,2106,11838.0,6321.0
99,4/17/2020,2095.0,2095.0,1968.0,2014,28347.0,9602.0
100,4/21/2020,1727.0,1727.0,1221.0,1324,262311.0,12533.0
101,4/22/2020,1272.0,1272.0,848.0,937,111720.0,13524.0
102,4/23/2020,960.0,1424.0,960.0,1289,226957.0,11316.0
103,4/24/2020,1340.0,1405.0,1218.0,1350,261565.0,10369.0
104,4/27/2020,1296.0,1296.0,941.0,1066,232376.0,11286.0
105,4/28/2020,1024.0,1064.0,795.0,1005,328816.0,11658.0
106,4/29/2020,1045.0,1276.0,1030.0,1183,262931.0,10260.0
107,4/30/2020,1230.0,1423.0,1230.0,1315,197651.0,7095.0
108,5/1/2020,1360.0,1555.0,1360.0,1518,73049.0,6759.0
109,5/4/2020,1458.0,1572.0,1386.0,1555,164325.0,6247.0
110,5/5/2020,1600.0,1924.0,1600.0,1869,146698.0,5669.0
111,5/6/2020,1891.0,1964.0,1745.0,1801,188216.0,5252.0
112,5/7/2020,1849.0,2043.0,1785.0,1834,175665.0,5367.0
113,5/8/2020,1827.0,1906.0,1776.0,1837,166915.0,5143.0
114,5/11/2020,1845.0,1947.0,1805.0,1845,155057.0,4824.0
